"ASV"	"Domain"	"Supergroup"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV144"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Stachybotryaceae"	NA	NA
"ASV145"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Stachybotryaceae"	"Stachybotrys"	"Stachybotrys_chartarum"
"ASV146"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	NA	NA	NA	NA
"ASV147"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	NA	NA	NA	NA
"ASV148"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV149"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	NA	NA
"ASV150"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Cordycipitaceae"	"Beauveria"	"Beauveria_pseudobassiana"
"ASV151"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Cordycipitaceae"	NA	NA
"ASV152"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Plectosphaerella"	NA
"ASV153"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Plectosphaerella"	NA
"ASV154"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV155"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV156"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	NA	"Acremonium"	"Acremonium_alternatum"
"ASV157"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	NA	"Acremonium"	NA
"ASV158"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	NA	NA	NA	NA
"ASV159"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Chaetomiaceae"	"Chaetomium"	"Chaetomium_homopilatum"
"ASV160"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	NA	NA	NA
"ASV161"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV162"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV163"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	NA	NA	NA	NA
"ASV164"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	NA	NA
"ASV165"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	NA	NA	NA
"ASV166"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	NA	NA	NA
"ASV167"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	NA	NA
"ASV168"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	NA	NA	NA
"ASV169"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	NA	NA	NA
"ASV170"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Stephanonectria"	NA
"ASV171"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	NA	NA	NA
"ASV172"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Niessliaceae"	NA	NA
"ASV173"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Cordycipitaceae"	"Lecanicillium"	"Lecanicillium_muscarium"
"ASV174"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Stephanonectria"	"Stephanonectria_keithii"
"ASV175"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Cystobasidiomycetes"	"Cystobasidiales"	NA	NA	NA
"ASV176"	"Eukaryota"	"Opisthokonta"	"Fungi"	NA	NA	NA	NA	NA	NA
"ASV177"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Cystobasidiomycetes"	"Cystobasidiales"	NA	NA	NA
"ASV178"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Lecanoromycetes"	"Candelariales"	"Candelariaceae"	"Candelariella"	"Candelariella_aurella"
"ASV179"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Xylariales"	"Xylariaceae"	"Lopadostoma"	"Lopadostoma_fagi"
"ASV180"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Polyporales"	"Ganodermataceae"	NA	NA
"ASV181"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV182"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Cystofilobasidiales"	"Mrakiaceae"	"Itersonilia"	"Itersonilia_perplexans"
"ASV183"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Cystofilobasidiales"	"Cystofilobasidiaceae"	"Guehomyces"	"Guehomyces_pullulans"
"ASV184"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	NA	NA	NA
"ASV185"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Agaricales"	NA	NA	NA
"ASV186"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Pezizomycetes"	"Pezizales"	"Pyronemataceae"	"Micronematobotrys"	"Micronematobotrys_verrucosus"
"ASV187"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Leotiomycetes"	NA	"Pseudeurotiaceae"	"Pseudeurotium"	NA
"ASV188"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Dothideales"	"Dothioraceae"	"Hormonema"	"Hormonema_macrosporum"
"ASV189"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Dothideales"	"Aureobasidiaceae"	NA	NA
"ASV190"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV191"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Capronia"	NA
